gabarytowy dimensional
gabinet office
gacić fascine
gacki bats
gacz slack
gadane talking
gadatliwość verbosity
gadatliwy talkative
gadulec chatterbox
gadzinowy creeping
gafa blunder
gagatek favorite
gaik boscage
gajówka blackcap
galanciej fancy
galaretnica jellyfish
galaretować jell
galimatias hodgepodge
galman calamine
galopada whirl
galwanizacja plating
galwanizować electroplate
galwanotyp electrotype
gałązkowy ramal
gałecznicowate roundworms
gałganek finery
gałganiarz ragman
gałganica hussy
gałgański scurvy
gałkowaty spheric
gałucha scum
gałuszka nutmeg
